adolescent_girl,anganwadi_centers,anganwadi_helpers,anganwadi_workers,district_id,districts,eligible_beneficiaries,month,project,sector,state_id,states_uts,year
,33120.0,,33057,0,14,2115133,9,258,1221,18,0,2024
17839.0,33120.0,32757.0,33067,0,14,2051251,1,258,1221,18,0,2025
,33117.0,,32875,0,14,2187467,5,258,1215,18,0,2024
,33115.0,,33107,0,14,2323937,7,258,1203,18,0,2023
,33120.0,,33068,0,14,2085212,10,258,1221,18,0,2024
,33117.0,,33092,0,14,2255578,2,258,1203,18,0,2024
,33117.0,,33092,0,14,2227664,3,258,1203,18,0,2024
,33120.0,32581.0,33063,0,14,2081488,11,258,1221,18,0,2024
,52156.0,48780.0,51806,0,33,2549667,12,221,1862,27,0,2024
,51730.0,,51105,0,28,2358535,2,220,1751,27,0,2023
,51748.0,,51046,0,28,2364487,3,220,1751,27,0,2023
,52116.0,,51229,0,33,2666146,1,220,1777,27,0,2024
105336.0,52167.0,49838.0,51841,0,33,2538132,2,221,1863,27,0,2025
,52202.0,,50869,0,33,2599306,6,221,1857,27,0,2024
,51770.0,,51080,0,28,2422302,4,220,1751,27,0,2023
,52017.0,,50967,0,33,2675381,10,220,1766,27,0,2023
,51948.0,,50868,0,33,2613920,8,220,1752,27,0,2023
,51950.0,,50899,0,33,2667520,9,220,1763,27,0,2023
,52037.0,,51242,0,33,2678432,11,221,1756,27,0,2023
,51810.0,,51084,0,28,2575364,5,220,1752,27,0,2023
,52255.0,,51035,0,33,2552113,7,221,1860,27,0,2024
103682.0,52213.0,50040.0,51821,0,33,2522512,3,221,1863,27,0,2025
,51886.0,,51071,0,28,2620882,6,220,1752,27,0,2023
,52193.0,,50912,0,33,2616931,4,221,1820,27,0,2024
,52305.0,,51251,0,33,2536850,8,221,1860,27,0,2024
,52066.0,,51245,0,33,2684803,12,221,1763,27,0,2023
,52135.0,,51358,0,33,2542838,9,221,1861,27,0,2024
106773.0,52168.0,49877.0,51860,0,33,2545728,1,221,1863,27,0,2025
,52187.0,,50937,0,33,2611835,5,221,1856,27,0,2024
,51919.0,,51168,0,33,2603023,7,220,1752,27,0,2023
,52150.0,,51575,0,33,2531749,10,221,1861,27,0,2024
,52125.0,,51099,0,33,2623889,2,220,1783,27,0,2024
,52167.0,,50979,0,33,2599463,3,220,1792,27,0,2024
,52148.0,47872.0,51695,0,33,2548711,11,221,1861,27,0,2024
,405.0,369.0,404,0,3,37740,12,4,16,9,0,2024
,405.0,,405,0,3,34919,2,5,16,9,0,2023
,405.0,,405,0,3,34437,3,5,16,9,0,2023
,405.0,,404,0,3,34042,1,4,16,9,0,2024
0.0,405.0,368.0,404,0,3,37359,2,4,16,9,0,2025
,405.0,,404,0,3,39772,6,4,16,9,0,2024
,405.0,,405,0,3,34324,4,5,16,9,0,2023
,405.0,,399,0,3,33216,10,4,16,9,0,2023
,405.0,,399,0,3,32806,8,4,16,9,0,2023
,405.0,,399,0,3,32764,9,4,16,9,0,2023
,405.0,,405,0,3,32841,11,4,16,9,0,2023
,405.0,,405,0,3,33825,5,5,16,9,0,2023
,405.0,,405,0,3,39647,7,4,16,9,0,2024
0.0,405.0,372.0,404,0,3,37090,3,4,16,9,0,2025
,405.0,,402,0,3,34479,6,4,16,9,0,2023
,405.0,,404,0,3,37517,4,4,16,9,0,2024
,405.0,,405,0,3,39283,8,4,16,9,0,2024
,405.0,,405,0,3,33588,12,4,16,9,0,2023
,405.0,,405,0,3,38969,9,4,16,9,0,2024
0.0,405.0,367.0,404,0,3,37631,1,4,16,9,0,2025
,405.0,,404,0,3,40002,5,4,16,9,0,2024
,405.0,,404,0,3,32979,7,4,16,9,0,2023
,405.0,,405,0,3,38211,10,4,16,9,0,2024
,405.0,,403,0,3,34316,2,4,16,9,0,2024
,405.0,,404,0,3,34218,3,4,16,9,0,2024
,405.0,378.0,405,0,3,37987,11,4,16,9,0,2024
,2244.0,2221.0,2237,0,11,113293,12,27,93,11,0,2024
,2244.0,,2244,0,8,121832,2,27,93,11,0,2023
,2244.0,,2239,0,8,129466,3,27,93,11,0,2023
,2244.0,,2239,0,8,119068,1,27,93,11,0,2024
18253.0,2244.0,2221.0,2237,0,11,113740,2,27,93,11,0,2025
,2244.0,,2239,0,11,117594,6,27,93,11,0,2024
,2244.0,,2238,0,8,129138,4,27,93,11,0,2023
,2244.0,,2237,0,8,122025,10,27,93,11,0,2023
,2244.0,,2237,0,8,123415,8,27,93,11,0,2023
,2244.0,,2237,0,8,122127,9,27,93,11,0,2023
,2244.0,,2239,0,8,121457,11,27,93,11,0,2023
,2244.0,,2239,0,8,126950,5,27,93,11,0,2023
,2244.0,,2236,0,11,117714,7,27,93,11,0,2024
18775.0,2244.0,2219.0,2237,0,11,115709,3,27,93,11,0,2025
,2244.0,,2239,0,8,125457,6,27,93,11,0,2023
,2244.0,,2239,0,9,118216,4,27,93,11,0,2024
,2244.0,,2236,0,11,117811,8,27,93,11,0,2024
,2244.0,,2239,0,8,119566,12,27,93,11,0,2023
,2244.0,,2236,0,11,117131,9,27,93,11,0,2024
18351.0,2244.0,2221.0,2237,0,11,113549,1,27,93,11,0,2025
,2244.0,,2238,0,11,117782,5,27,93,11,0,2024
,2244.0,,2239,0,8,124348,7,27,93,11,0,2023
,2244.0,,2237,0,11,115602,10,27,93,11,0,2024
,2244.0,,2239,0,9,119227,2,27,93,11,0,2024
,2244.0,,2239,0,9,118749,3,27,93,11,0,2024
,2244.0,2219.0,2237,0,11,114864,11,27,93,11,0,2024
,18925.0,17915.0,18710,0,12,551292,12,78,809,7,0,2024
,18934.0,,18866,0,12,527011,2,78,808,7,0,2023
,18927.0,,18794,0,12,518891,3,78,808,7,0,2023
,18925.0,,18736,0,12,565358,1,78,809,7,0,2024
16179.0,18925.0,18095.0,18753,0,12,546585,2,78,809,7,0,2025
,18925.0,,18559,0,12,565045,6,78,809,7,0,2024
,18925.0,,18770,0,12,516792,4,78,808,7,0,2023
,18927.0,,18707,0,12,566094,10,78,808,7,0,2023
,18925.0,,18723,0,12,560118,8,78,808,7,0,2023
,18925.0,,18714,0,12,563200,9,78,808,7,0,2023
,18927.0,,18721,0,12,566996,11,78,809,7,0,2023
,18925.0,,18754,0,12,508789,5,78,808,7,0,2023
,18925.0,,18484,0,12,562334,7,78,809,7,0,2024
16332.0,18925.0,18122.0,18763,0,12,539878,3,78,809,7,0,2025
,18925.0,,18757,0,12,512337,6,78,808,7,0,2023
,18926.0,,18625,0,12,566499,4,78,809,7,0,2024
,18926.0,,18510,0,12,560676,8,78,809,7,0,2024
,18926.0,,18727,0,12,565917,12,78,809,7,0,2023
,18936.0,,18548,0,12,560188,9,78,809,7,0,2024
16213.0,18925.0,18062.0,18755,0,12,548260,1,78,809,7,0,2025
,18925.0,,18563,0,12,565844,5,78,809,7,0,2024
,18925.0,,18752,0,12,554395,7,78,808,7,0,2023
,18935.0,,18617,0,12,555486,10,78,809,7,0,2024
,18929.0,,18590,0,12,567530,2,78,809,7,0,2024
,18926.0,,18630,0,12,566964,3,78,809,7,0,2024
,18925.0,17851.0,18672,0,12,554061,11,78,809,7,0,2024
,11523.0,9722.0,11145,0,16,284444,12,43,391,29,0,2024
,11509.0,,11509,0,16,299445,2,43,391,29,0,2023
,11509.0,,11497,0,16,299720,3,43,391,29,0,2023
,11509.0,,11435,0,16,283343,1,43,391,29,0,2024
42205.0,11552.0,9739.0,11179,0,16,284383,2,43,391,29,0,2025
,11523.0,,11255,0,16,279925,6,43,391,29,0,2024
,11509.0,,11495,0,16,304859,4,43,391,29,0,2023
,11509.0,,11475,0,16,273236,10,43,391,29,0,2023
,11509.0,,11490,0,16,274737,8,43,391,29,0,2023
,11509.0,,11488,0,16,271247,9,43,391,29,0,2023
,11509.0,,11476,0,16,278738,11,43,391,29,0,2023
,11509.0,,11493,0,16,297872,5,43,391,29,0,2023
,11523.0,,11232,0,16,283381,7,43,391,29,0,2024
39191.0,11552.0,9746.0,11176,0,16,283994,3,43,391,29,0,2025
,11509.0,,11493,0,16,290036,6,43,391,29,0,2023
,11523.0,,11316,0,16,280069,4,43,391,29,0,2024
,11523.0,,11232,0,16,293989,8,43,391,29,0,2024
,11509.0,,11466,0,16,283141,12,43,391,29,0,2023
,11523.0,,11203,0,16,291693,9,43,391,29,0,2024
43993.0,11552.0,9727.0,11160,0,16,283564,1,43,392,29,0,2025
,11523.0,,11310,0,16,280732,5,43,391,29,0,2024
,11509.0,,11493,0,16,281838,7,43,391,29,0,2023
,11523.0,,11196,0,16,290172,10,43,391,29,0,2024
,11523.0,,11371,0,16,281914,2,43,391,29,0,2024
,11523.0,,11306,0,16,280007,3,43,391,29,0,2024
,11523.0,9675.0,11194,0,16,286884,11,43,391,29,0,2024
,28179.0,26485.0,27070,0,20,875522,12,128,1177,16,0,2024
,28150.0,,27552,0,20,811036,2,128,1129,16,0,2023
,28157.0,,27280,0,20,806282,3,128,1129,16,0,2023
,28168.0,,27306,0,20,806976,1,128,1166,16,0,2024
25851.0,28182.0,26506.0,27099,0,20,887218,2,128,1177,16,0,2025
,28178.0,,26927,0,20,816664,6,128,1172,16,0,2024
,28129.0,,27170,0,20,797104,4,128,1129,16,0,2023
,28154.0,,26972,0,20,804812,10,128,1158,16,0,2023
,28131.0,,26899,0,20,806278,8,128,1140,16,0,2023
,28130.0,,26966,0,20,806284,9,128,1141,16,0,2023
,28167.0,,27286,0,20,805879,11,128,1162,16,0,2023
,28118.0,,27083,0,20,799886,5,128,1131,16,0,2023
,28178.0,,26905,0,20,816558,7,128,1172,16,0,2024
25475.0,28183.0,26544.0,27084,0,20,888556,3,128,1177,16,0,2025
,28119.0,,27069,0,20,795450,6,128,1133,16,0,2023
,28176.0,,27009,0,20,810708,4,128,1171,16,0,2024
,28174.0,,26927,0,20,821695,8,128,1172,16,0,2024
,28176.0,,27302,0,20,806546,12,128,1166,16,0,2023
